,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
104,20160825,14.75,56.47,25.97,15.82,21.77,4.81,25.61,52.2,20.49,6.0,12.0,7.1,14.75,18.58,4.9,17.04,32.48,9.52,39.12,51.21,22.86,9.59,21.66,17.31,24.82,18.24,10.3,37.55,32.59,109.28
105,20160824,14.75,56.47,26.26,16.0,21.77,4.81,25.37,53.47,21.07,6.2,12.04,7.4,14.17,18.32,4.9,17.13,31.98,9.46,39.12,52.65,22.99,9.53,21.49,17.4,24.75,18.32,10.5,37.55,32.72,109.28
106,20160823,14.93,56.95,25.97,15.82,21.77,4.9,25.19,53.47,21.14,6.3,12.0,7.5,14.25,17.58,4.9,16.94,31.14,9.46,40.07,55.17,22.93,9.66,21.74,17.31,24.61,18.41,10.5,36.86,32.72,107.77
107,20160822,14.93,56.95,25.59,15.91,21.85,4.81,25.07,55.15,20.85,6.3,11.96,7.4,14.02,17.14,4.9,16.76,29.12,9.46,41.34,54.45,22.99,9.66,22.4,17.31,24.82,18.24,10.6,37.2,31.64,105.51
108,20160819,15.02,57.43,26.16,15.82,21.77,4.81,25.0,54.31,21.14,6.4,12.04,7.2,13.93,17.84,4.8,16.57,30.38,9.46,42.93,54.81,23.26,9.73,23.14,17.31,24.47,18.5,10.6,37.2,32.18,107.77
109,20160818,15.11,55.99,26.16,16.0,22.0,4.81,25.42,52.2,21.72,6.0,12.17,6.8,14.11,18.23,4.9,16.66,29.45,9.52,40.39,54.45,23.39,9.66,23.06,17.31,24.12,18.84,10.6,36.86,32.32,106.77
110,20160817,15.29,56.47,24.91,16.0,21.92,4.9,25.48,53.47,21.72,6.4,12.21,7.3,14.05,18.19,4.9,17.13,27.6,9.52,37.85,55.53,23.65,9.79,23.23,17.66,25.17,19.09,10.8,36.86,32.32,104.93
111,20160816,15.29,56.47,24.91,16.0,21.77,4.81,25.18,53.47,20.78,6.8,12.33,7.8,13.59,18.15,5.1,17.41,27.35,9.46,37.85,52.29,23.45,9.92,23.23,17.66,24.47,19.09,10.7,37.55,32.32,103.7
112,20160815,15.47,56.95,24.34,16.19,21.69,4.9,24.53,53.89,19.91,6.9,12.25,7.7,13.38,18.06,5.3,17.22,25.58,9.52,38.16,50.85,22.86,9.92,23.81,17.74,24.12,18.67,10.9,37.9,33.06,103.7
113,20160812,15.47,56.95,24.43,16.19,22.0,4.9,24.53,53.04,19.91,6.5,12.08,7.2,13.24,17.88,5.3,16.47,23.98,9.52,38.48,49.4,22.73,9.79,23.06,17.4,24.19,18.58,10.9,37.9,33.06,103.09
114,20160811,15.65,58.39,24.53,16.28,22.0,4.99,24.65,52.2,20.05,6.3,12.29,6.8,13.3,18.23,5.2,16.76,23.98,9.58,38.8,50.12,23.32,9.92,22.48,17.4,24.68,18.75,10.9,38.94,33.06,103.7
115,20160810,15.29,57.43,24.43,16.1,21.85,4.9,24.24,52.2,19.4,5.9,12.29,6.4,13.1,17.8,4.9,16.19,23.48,9.52,38.48,47.6,23.32,9.79,22.24,17.31,24.82,18.5,10.8,37.2,32.79,100.63
116,20160809,14.93,55.99,24.43,15.63,21.77,4.81,24.12,51.78,19.11,5.6,12.08,6.0,12.52,17.23,4.9,16.38,23.56,9.46,38.48,47.24,23.52,9.99,21.66,17.23,24.12,18.24,10.7,36.86,30.7,99.41
117,20160808,15.02,55.04,24.43,15.91,21.77,4.73,23.94,50.94,19.47,5.3,11.96,5.7,12.37,17.14,4.9,15.82,23.48,9.46,37.85,47.6,22.48,10.19,20.91,16.97,23.08,18.24,10.9,36.16,30.16,96.95
118,20160805,15.11,55.52,24.43,15.82,21.77,4.81,23.88,50.1,18.9,5.1,12.0,5.6,12.46,16.92,4.9,16.19,23.31,9.46,39.12,47.6,22.48,9.59,20.58,16.63,23.01,18.32,11.0,35.47,30.16,96.95
119,20160804,15.29,55.04,24.24,16.0,21.92,4.9,23.83,50.1,18.1,5.4,12.0,6.0,12.32,16.53,4.8,16.57,23.56,9.46,39.44,46.52,22.48,9.59,20.83,16.97,23.01,18.75,10.5,36.16,32.05,95.72
120,20160803,15.47,54.56,24.24,15.82,22.0,5.07,23.88,49.68,18.24,5.8,12.29,6.4,12.49,17.01,4.8,16.47,24.15,9.52,39.12,44.71,22.48,9.86,20.33,16.8,22.87,18.92,11.0,35.12,33.26,94.5
121,20160802,15.47,55.99,24.24,15.91,21.85,5.16,23.94,50.1,18.61,6.1,12.55,6.6,12.34,16.22,4.9,16.66,23.98,9.52,39.12,44.71,22.61,10.06,20.91,17.14,22.8,18.84,11.1,35.81,34.41,93.27
122,20160801,15.93,55.99,24.91,16.37,22.3,4.9,24.24,50.52,18.9,6.3,13.01,6.9,12.75,16.53,4.9,16.38,23.98,9.58,40.71,46.88,22.74,10.06,21.74,17.31,23.01,19.43,11.2,36.86,34.74,95.11
123,20160729,15.93,56.47,25.01,16.47,22.23,4.9,24.18,49.26,19.04,6.4,13.13,6.9,12.86,17.23,4.9,16.57,24.32,9.58,40.71,48.32,22.68,10.19,21.16,17.66,22.94,19.52,11.3,37.55,34.41,96.95
124,20160728,15.93,56.95,24.82,16.47,22.3,4.9,24.36,48.83,18.82,6.4,13.05,6.7,12.89,17.49,5.0,16.29,24.4,9.65,41.98,47.96,22.42,10.06,21.24,18.0,22.52,19.77,11.2,38.25,35.42,98.18
125,20160727,16.02,57.43,24.53,16.65,22.3,4.99,24.36,50.94,19.04,6.6,12.92,7.0,12.49,17.27,5.1,16.01,23.98,9.71,41.98,46.88,21.97,9.99,21.57,17.48,22.45,19.35,11.2,37.9,34.41,96.95
126,20160726,15.83,56.47,24.72,16.28,22.45,5.16,24.12,49.68,18.75,6.7,12.84,7.1,12.23,16.49,5.4,15.91,23.65,9.65,42.3,46.88,22.16,9.66,21.24,17.48,22.87,19.09,11.2,36.86,34.07,96.34
127,20160725,15.93,56.47,24.72,16.19,22.53,5.16,24.24,52.2,19.04,6.8,12.76,7.1,11.82,16.22,5.3,15.82,23.9,9.58,42.62,47.96,22.35,9.59,21.74,17.66,23.08,19.01,11.0,36.86,34.07,94.5
