,DTYYYYMMDD,BID,BVH,CII,CTG,DPM,FLC,FPT,GAS,GMD,HAG,HCM,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PPC,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
26,20161214,14.48,55.52,28.09,13.55,18.45,4.37,25.37,55.11,19.11,5.75,11.13,6.67,14.28,20.99,4.24,12.68,29.02,8.86,39.5,55.89,18.57,10.85,19.59,19.03,21.64,16.95,7.9,33.33,35.08,98.58
27,20161213,13.63,54.46,28.09,13.51,18.25,4.08,25.25,55.11,19.11,5.4,10.78,6.24,13.91,20.2,4.55,12.59,28.23,8.86,38.8,55.03,18.1,10.85,19.64,18.51,21.09,16.82,7.62,32.95,34.71,98.73
28,20161212,13.91,54.94,27.7,13.88,18.54,4.38,25.49,55.95,19.29,5.58,10.76,6.3,13.96,20.18,4.3,12.59,28.01,8.86,40.07,55.03,19.42,10.85,20.18,18.6,21.27,16.51,7.61,33.43,34.71,100.76
29,20161209,14.06,56.19,28.28,14.25,18.45,4.71,25.91,55.95,19.47,5.53,10.78,6.15,14.03,20.22,4.48,13.53,27.62,8.92,40.26,55.89,19.82,10.85,19.73,19.11,21.64,16.73,7.8,33.57,34.71,102.34
30,20161208,14.1,55.61,28.04,14.38,18.7,4.88,25.52,55.11,19.47,5.56,10.78,6.16,14.03,20.33,4.71,13.67,27.44,8.82,40.26,55.89,20.32,10.72,19.64,19.16,22.18,16.69,7.91,33.52,34.71,101.89
31,20161207,14.06,55.52,27.51,14.48,19.15,4.83,25.43,55.36,19.51,5.52,10.9,6.1,14.01,20.11,4.79,13.57,27.44,8.82,40.07,55.61,20.51,10.52,19.64,19.03,22.36,16.6,7.4,32.95,34.71,99.86
32,20161206,14.06,55.23,27.32,14.52,19.36,4.52,25.55,56.72,19.47,5.52,10.95,6.13,14.03,19.85,4.65,13.57,28.84,8.92,40.26,55.53,20.48,10.52,19.87,18.77,22.09,16.6,7.51,32.71,34.46,100.99
33,20161205,14.48,55.13,27.61,14.85,19.44,4.86,25.73,56.38,19.69,5.65,11.16,6.34,14.54,21.3,5.0,13.9,29.19,8.86,40.2,56.61,21.04,10.92,20.27,19.28,22.18,17.13,7.5,33.43,34.67,101.74
34,20161202,14.58,55.99,28.28,14.94,19.44,4.77,25.94,57.56,19.4,5.65,11.3,6.3,14.47,21.69,5.09,13.67,29.19,8.92,39.95,59.5,20.42,10.92,21.09,18.9,22.36,17.58,7.74,33.81,34.71,101.74
35,20161201,14.67,56.86,28.43,14.99,19.93,4.9,26.09,57.9,19.73,5.9,11.24,6.72,14.32,21.34,4.89,13.57,29.76,8.89,40.96,59.68,20.55,10.92,21.27,18.86,21.82,17.71,7.55,33.76,34.71,101.89
