,DTYYYYMMDD,BID,BVH,CTD,CTG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
28,20191216,41.9,72.7,62.9,20.3,13.5,16.9,56.5,98.2,23.9,27.55,23.75,21.4,56.7,113.2,56.0,83.6,36.6,24.0,228.72,18.55,19.05,10.05,23.15,85.24,86.1,115.8,143.0,117.7,19.6,33.9
29,20191213,41.9,68.0,62.0,20.6,13.3,16.8,57.1,98.0,23.6,27.95,23.8,21.8,58.0,113.0,55.0,83.5,36.5,24.1,228.92,18.5,19.2,10.05,23.15,87.62,89.1,116.0,144.5,117.01,19.65,33.55
30,20191212,41.0,68.0,63.0,20.15,13.2,16.75,57.0,97.9,23.1,28.0,24.2,21.8,58.5,113.4,56.0,84.0,36.85,24.2,228.92,18.55,19.4,10.1,23.15,86.73,91.2,116.0,145.2,118.2,19.65,34.75
31,20191211,40.1,68.0,62.5,19.85,13.2,16.7,56.5,98.1,22.9,28.0,24.4,21.8,55.7,113.0,56.0,84.1,36.8,24.1,228.82,18.6,19.0,10.05,22.7,85.14,91.1,115.9,143.9,117.6,19.25,35.0
32,20191210,39.9,67.7,62.8,20.05,13.1,16.7,55.5,97.9,22.9,27.7,24.4,21.1,56.6,111.0,55.2,82.8,36.6,24.0,228.82,18.6,19.2,10.05,22.4,84.65,91.5,115.9,143.8,117.2,19.05,34.9
33,20191209,40.0,65.7,64.4,20.15,13.4,16.8,55.3,99.8,23.0,28.0,24.2,21.45,60.5,110.9,56.7,82.2,36.25,24.5,231.47,18.65,19.6,9.95,22.8,84.45,92.0,115.9,144.5,117.1,19.4,35.2
34,20191206,39.65,65.8,65.4,20.3,13.1,16.95,55.0,98.0,22.8,27.8,23.85,21.85,62.5,110.8,57.0,82.2,36.0,25.0,228.72,18.65,19.5,10.0,23.15,84.15,92.0,115.9,144.4,115.32,19.6,34.6
35,20191205,40.0,66.2,63.7,20.1,12.8,16.8,54.9,98.0,23.3,27.9,23.1,21.85,62.0,110.6,56.5,82.0,36.0,24.5,227.54,18.6,19.6,10.05,23.25,84.05,92.0,115.8,145.4,116.81,19.6,34.5
36,20191204,40.35,66.8,62.5,20.45,12.8,16.8,55.4,99.3,23.5,27.3,23.45,22.2,62.5,113.0,56.4,82.4,36.3,24.2,226.47,18.55,19.8,10.1,23.45,83.95,91.8,115.5,145.5,117.8,19.75,34.1
37,20191203,39.7,66.7,62.5,19.6,12.8,16.9,54.5,97.2,23.35,25.55,23.45,21.55,64.2,109.2,56.2,81.0,35.7,24.5,224.89,18.5,19.3,9.75,22.55,81.28,91.8,115.0,145.4,115.42,18.7,34.0
38,20191202,39.4,68.5,63.0,19.8,12.8,16.65,54.6,98.0,23.5,25.55,22.95,21.4,69.0,108.4,56.1,80.0,35.8,24.5,224.8,18.55,19.5,10.0,22.7,82.76,91.9,115.0,146.1,117.3,19.5,34.0
39,20191129,40.5,70.3,63.5,20.45,12.95,17.1,56.4,100.5,23.75,26.5,22.85,22.15,70.0,109.0,56.8,81.2,36.15,24.3,221.85,18.7,19.8,10.1,22.9,84.55,91.9,115.7,144.9,120.48,20.15,34.45
40,20191128,40.65,70.1,64.0,20.45,12.9,17.1,56.0,100.8,23.85,26.15,22.6,22.1,69.5,109.0,56.7,81.1,35.9,24.85,225.78,18.7,19.85,10.1,22.9,84.55,91.6,115.7,144.6,121.07,20.05,33.5
41,20191127,40.8,71.0,66.3,21.05,13.05,17.0,57.0,102.0,24.0,27.0,22.6,22.6,71.0,113.2,56.5,82.3,36.25,25.0,226.27,18.7,19.85,10.1,23.35,85.54,93.0,115.6,143.7,121.07,20.4,33.95
42,20191126,40.0,71.4,66.7,21.2,12.8,17.25,57.1,102.0,24.2,27.8,22.65,22.65,71.5,113.5,56.5,83.3,36.5,25.1,225.78,18.5,20.0,10.15,23.45,83.95,93.3,115.2,143.3,121.96,20.45,34.1
43,20191125,39.7,72.1,66.7,21.15,13.25,17.35,56.6,103.1,24.0,27.8,22.25,22.4,71.5,112.0,57.2,82.9,36.3,24.9,228.72,18.2,20.25,10.15,23.3,83.75,93.2,116.0,143.0,121.86,20.2,33.8
44,20191122,40.2,70.9,65.6,21.1,13.15,17.0,56.0,103.1,24.0,27.8,22.1,22.35,70.5,112.0,57.0,81.6,36.7,24.95,230.69,18.2,20.1,10.25,23.05,84.75,93.5,116.2,143.0,120.48,20.2,34.8
45,20191121,41.2,70.5,68.0,21.3,13.05,16.75,56.0,104.1,24.5,28.45,22.0,22.4,71.5,113.5,57.0,82.5,37.25,25.0,236.58,18.6,20.4,10.2,23.5,86.73,95.3,115.3,143.4,120.97,20.0,35.0
46,20191120,41.55,72.1,70.9,21.3,13.7,18.0,56.8,105.0,24.8,28.9,22.4,22.6,73.6,117.1,58.4,83.4,37.7,25.4,241.78,18.7,20.9,10.4,24.4,88.71,96.2,116.0,144.9,122.95,20.9,35.15
