,DTYYYYMMDD,BID,BVH,CTD,CTG,DPM,EIB,FPT,GAS,GMD,HDB,HPG,MBB,MSN,MWG,NVL,PNJ,REE,ROS,SAB,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
106,20190827,36.88,75.95,94.07,20.3,13.45,17.15,52.8,100.9,26.34,26.5,22.4,21.57,75.0,114.0,60.7,83.2,36.5,27.0,263.64,15.9,20.49,10.45,21.45,75.83,86.6,122.5,132.6,116.06,20.4,34.5
107,20190826,37.22,76.74,94.07,20.3,13.6,16.85,53.7,100.51,26.72,26.3,22.8,21.57,76.0,116.4,62.0,83.8,36.3,26.8,266.86,16.0,20.68,10.55,21.25,77.11,85.9,124.8,132.0,117.52,20.1,34.9
108,20190823,36.93,77.43,96.88,20.5,13.85,17.45,54.4,102.98,26.63,26.4,23.4,20.97,77.0,116.5,62.0,82.8,36.3,26.6,269.01,16.15,21.35,10.7,21.65,78.5,87.0,125.0,134.0,119.96,19.8,35.05
109,20190822,36.98,77.63,96.97,20.6,13.65,17.5,53.0,103.57,26.58,26.45,23.05,20.88,78.0,117.5,62.8,83.5,36.7,25.95,269.4,16.15,21.44,10.3,21.65,79.29,87.9,126.1,132.2,120.94,19.8,35.75
110,20190821,37.22,76.74,98.82,20.75,13.65,17.45,53.6,104.17,27.05,26.5,23.2,20.83,77.0,120.3,63.0,85.6,37.2,25.4,271.25,16.2,21.54,10.25,21.65,79.29,87.3,122.4,130.9,120.84,19.75,35.9
111,20190820,36.19,75.95,98.62,20.6,13.75,17.4,54.0,101.99,27.38,26.3,22.9,20.51,76.2,120.0,63.0,85.8,37.0,25.6,269.89,16.2,21.16,10.3,21.55,76.22,86.7,121.0,130.0,121.33,19.5,35.6
112,20190819,36.09,76.64,99.88,20.5,13.75,17.4,52.4,100.8,26.91,26.35,23.05,20.42,77.1,117.9,62.1,84.9,37.5,25.7,269.89,16.1,21.25,10.25,21.55,76.12,84.2,121.9,130.5,121.81,19.45,35.3
113,20190816,35.4,76.05,98.91,20.5,13.8,17.45,52.0,99.91,26.91,26.4,23.05,20.74,77.0,117.3,61.8,86.0,37.55,26.2,269.4,16.0,21.3,10.3,21.9,77.21,83.5,122.0,130.5,121.03,19.45,35.15
114,20190815,34.52,77.33,98.82,20.4,13.85,18.0,53.0,99.91,26.39,26.35,23.25,20.65,76.1,120.0,61.9,86.6,36.55,26.4,278.18,16.1,20.92,10.35,21.0,78.3,84.0,121.0,130.3,118.98,19.3,35.4
115,20190814,34.52,77.43,98.91,20.5,13.85,17.1,52.2,99.91,25.49,26.3,23.45,20.65,75.6,118.9,60.2,85.7,35.9,26.7,270.37,15.8,20.87,10.15,20.85,75.63,83.0,118.6,131.6,115.77,19.25,34.7
116,20190813,34.32,76.25,96.2,20.6,14.0,17.2,51.51,99.02,25.68,26.05,23.45,20.56,75.6,117.8,59.7,87.0,36.0,27.0,270.37,16.0,20.92,10.2,20.65,75.63,82.9,118.1,132.5,115.08,19.1,34.9
117,20190812,34.76,76.94,98.91,20.35,14.4,17.35,51.31,101.0,26.11,26.15,23.6,20.28,76.0,117.0,59.9,85.7,34.8,27.4,267.84,16.0,21.2,10.35,20.25,77.01,84.2,120.0,134.5,117.62,19.0,35.45
118,20190809,34.12,76.94,102.11,20.5,14.05,17.7,50.14,100.31,26.15,26.3,23.1,19.86,76.1,115.9,60.0,84.2,34.4,27.1,269.11,16.0,21.06,10.35,20.2,77.81,84.0,120.2,131.7,118.01,19.0,35.5
119,20190808,34.12,78.81,103.76,20.45,13.75,17.6,49.35,100.01,26.44,25.0,23.3,20.0,74.8,113.0,58.9,84.8,34.0,27.2,273.3,16.2,20.29,10.45,20.2,77.81,84.5,122.0,131.1,117.91,18.7,35.5
120,20190807,34.12,74.47,106.77,20.2,13.55,17.5,48.81,99.51,24.97,25.0,22.1,19.72,74.8,114.0,59.6,86.6,31.9,27.5,273.3,16.3,20.29,10.4,20.1,77.71,83.0,118.0,130.9,118.01,18.75,34.7
121,20190806,34.62,75.95,109.58,20.2,13.65,17.95,48.03,101.0,25.07,25.0,21.75,19.77,75.0,110.0,58.9,83.8,32.05,28.5,272.52,16.55,20.73,10.45,20.25,75.63,82.51,119.8,130.1,117.23,18.8,34.85
122,20190805,35.21,77.53,111.52,20.35,13.65,17.8,48.08,102.98,24.55,25.6,22.15,20.19,76.8,109.5,59.5,80.7,32.5,28.1,273.5,16.7,21.35,10.45,20.4,76.72,84.19,118.0,130.7,118.98,18.95,35.0
