,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
24,20170619,19.06,85.75,56.47,37.8,198.96,19.96,119.29,19.44,32.83,51.79,32.0,9.05,10.25,16.76,25.0,3.47,15.49,40.86,14.52,43.6,69.16,20.76,13.05,32.45,32.45,24.72,14.15,38.02,35.62,117.96
25,20170616,18.82,85.84,55.61,38.0,198.96,19.67,121.65,19.35,32.4,51.16,31.13,9.17,10.65,16.95,24.57,3.38,15.16,40.38,14.13,42.3,69.23,20.33,12.96,32.63,30.73,23.74,13.9,37.83,35.54,116.89
26,20170615,18.87,87.0,56.09,38.4,198.04,19.71,119.2,19.65,32.19,50.63,29.68,9.05,10.35,16.67,24.54,3.36,15.16,39.94,14.06,43.35,69.6,20.54,13.0,31.81,30.18,23.56,13.75,37.83,34.96,117.5
27,20170614,19.06,88.57,56.66,38.7,199.23,19.52,118.92,19.78,32.05,51.16,29.79,9.14,10.1,16.28,24.81,3.35,15.16,39.85,14.24,43.7,69.45,20.65,13.18,30.81,30.54,23.65,14.0,37.54,34.3,117.27
28,20170613,18.58,89.15,55.23,38.7,192.81,19.09,119.11,19.78,32.16,50.01,29.75,8.55,9.45,16.15,24.65,3.38,15.3,39.77,13.92,43.05,69.09,20.61,13.0,30.81,30.73,23.74,13.9,36.92,35.54,116.35
29,20170612,18.06,83.85,54.75,39.0,192.17,18.8,117.41,19.35,31.69,49.12,30.41,8.36,9.4,15.9,24.3,3.36,15.3,40.64,13.89,43.3,70.18,19.97,12.68,30.53,30.82,23.47,13.8,36.73,35.0,116.66
30,20170609,17.96,83.85,55.32,39.0,191.9,18.7,120.52,19.35,32.01,48.85,30.33,8.22,9.47,16.18,25.0,3.37,15.49,41.08,14.03,43.2,70.76,20.4,13.23,30.71,30.91,23.42,13.9,36.78,34.38,117.42
31,20170608,18.2,83.76,55.52,39.3,194.01,18.85,113.07,19.44,31.34,49.38,30.33,8.22,9.49,16.2,25.47,3.38,15.21,40.55,14.03,43.1,71.27,20.61,13.18,30.62,30.54,23.24,13.8,36.3,34.13,117.35
32,20170607,18.49,84.31,55.8,39.8,194.37,19.18,105.71,19.27,31.23,49.38,30.04,8.57,10.2,16.15,25.79,3.4,14.98,38.85,14.17,43.55,70.54,20.72,13.82,30.99,31.14,23.07,13.45,36.68,33.88,117.65
33,20170606,18.49,83.81,55.61,40.0,193.55,18.51,105.81,19.27,31.41,49.29,29.32,8.58,10.25,15.69,26.02,3.4,15.07,38.37,13.57,44.1,69.96,20.68,13.77,30.99,30.82,22.84,13.55,37.02,33.6,117.8
