,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HAG,HNG,HPG,HSG,ITA,KBC,KDC,MBB,MSN,MWG,NT2,PVD,REE,SBT,SSI,STB,VCB,VIC,VNM
104,20170222,15.82,85.68,59.15,35.34,191.62,17.35,71.71,19.77,27.66,54.49,23.24,8.12,9.38,13.79,21.08,3.99,14.23,35.22,9.83,42.2,59.9,20.96,21.18,23.1,22.0,19.23,10.95,36.3,37.77,98.28
105,20170221,15.91,86.59,59.82,33.07,190.71,17.64,68.7,19.93,27.42,52.47,23.67,8.2,9.52,14.49,21.6,3.95,14.37,33.87,9.83,42.55,60.76,21.39,20.91,23.35,22.0,18.78,10.85,36.78,38.39,98.2
106,20170220,15.82,86.59,60.3,32.58,192.08,17.83,68.52,20.05,27.21,51.86,23.53,7.74,9.48,14.4,21.43,3.9,14.23,33.56,9.83,42.0,60.58,21.46,20.96,23.57,21.95,18.78,11.05,36.35,37.44,97.97
107,20170217,16.1,87.27,60.3,32.48,188.87,18.22,69.01,20.01,27.36,51.77,23.02,7.24,9.13,15.19,21.73,3.95,13.67,33.65,9.9,41.7,62.02,21.33,20.18,23.4,21.95,18.78,11.0,36.68,36.36,97.97
108,20170216,16.2,88.27,60.68,32.29,184.38,18.61,69.32,20.46,27.36,52.12,22.52,7.05,9.12,15.33,21.75,3.98,13.39,33.82,9.8,41.95,62.38,21.19,20.0,23.14,21.95,18.65,10.45,36.97,36.36,99.48
109,20170215,16.53,88.73,60.97,30.81,183.37,18.61,68.7,20.79,27.78,51.94,22.41,6.8,9.16,15.48,22.3,3.98,13.48,33.65,9.73,41.95,62.38,20.99,20.41,23.65,22.0,18.92,9.95,37.35,36.78,100.23
110,20170214,16.2,88.73,60.3,30.42,180.89,17.98,69.99,20.95,28.03,51.94,21.21,6.52,9.08,15.47,22.48,3.99,13.34,34.04,9.59,41.5,62.02,21.02,20.73,23.57,21.82,18.83,10.1,37.07,35.17,100.16
111,20170213,16.06,89.0,61.74,30.37,183.1,17.83,69.93,21.08,27.06,51.94,21.36,6.24,8.86,15.35,22.39,3.94,13.39,34.17,9.66,41.8,62.46,21.26,20.64,23.83,21.73,18.92,10.0,37.21,35.12,100.84
112,20170210,16.29,88.18,60.68,30.27,182.09,17.88,70.3,21.04,26.85,51.86,20.74,6.06,8.5,15.21,21.95,3.94,13.43,34.0,9.49,42.0,60.69,21.02,19.37,23.48,21.64,18.56,10.2,37.64,35.12,100.84
113,20170209,16.06,88.82,60.11,30.71,179.52,17.4,70.67,21.12,26.91,50.98,20.16,5.95,8.1,15.28,22.13,3.98,13.53,33.56,9.56,42.5,60.22,20.85,19.05,23.48,21.64,18.56,10.2,38.02,35.25,101.06
114,20170208,16.2,89.28,60.49,30.76,175.03,17.21,70.24,20.5,26.94,51.94,20.42,6.16,8.7,15.31,21.56,3.99,13.2,32.86,9.49,42.6,60.87,20.85,19.27,23.05,21.64,18.65,10.0,38.07,35.33,100.91
115,20170207,16.29,89.32,60.4,30.42,174.2,17.5,70.42,19.93,26.88,52.73,20.42,6.09,8.6,15.3,21.54,3.9,12.87,32.64,9.39,42.6,61.45,20.85,19.46,23.05,21.73,18.65,9.87,37.59,35.37,100.84
116,20170206,16.39,88.64,60.49,30.47,175.12,17.64,70.12,20.18,26.76,52.73,20.49,5.92,8.4,15.12,21.51,3.89,12.73,32.34,9.46,42.6,61.48,20.92,19.46,22.63,21.73,18.34,9.95,37.07,35.04,100.39
117,20170203,16.39,87.73,60.68,30.51,173.74,17.79,69.01,19.77,27.0,52.29,20.27,5.84,8.0,14.82,21.47,3.9,12.96,32.25,9.49,42.3,60.58,20.25,19.05,22.2,21.82,18.29,10.05,37.07,34.71,100.91
118,20170202,16.39,88.09,59.82,30.81,177.5,18.03,68.09,19.77,27.12,53.17,20.38,5.99,7.81,14.64,21.49,3.9,12.96,32.6,9.53,42.2,60.94,19.64,19.0,22.28,21.82,18.43,10.05,37.78,35.12,100.23
119,20170125,16.1,87.95,58.48,30.22,177.41,17.88,67.48,19.81,27.24,52.82,20.49,5.6,7.3,14.51,21.73,3.9,12.78,32.25,9.49,41.25,57.7,19.51,19.09,22.03,22.09,18.02,10.2,37.64,34.71,97.22
120,20170124,16.2,88.87,58.29,29.92,174.02,17.88,65.94,19.6,27.0,52.73,20.13,5.79,7.31,14.4,21.56,3.91,12.68,31.99,9.46,41.2,57.34,19.58,18.87,21.73,22.18,17.89,9.85,36.97,34.3,96.47
121,20170123,16.06,87.95,58.29,30.32,171.45,17.64,66.56,19.36,26.85,51.42,20.13,5.42,6.84,14.4,21.3,3.9,12.73,32.69,9.26,41.2,57.08,19.64,18.23,21.3,22.18,17.85,9.55,36.49,34.71,96.47
