,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KDC,MBB,MSN,MWG,NT2,NVL,PLX,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VJC,VNM
10,20180706,22.72,51.36,73.03,25.4,130.41,21.9,100.74,15.74,34.84,75.28,21.63,28.31,9.5,29.89,18.25,74.0,78.55,23.28,52.0,52.28,29.15,41.0,211.51,13.54,26.56,10.4,53.82,106.2,129.92,130.58
11,20180705,21.24,52.69,68.36,25.5,126.28,20.5,101.9,15.7,33.73,70.43,21.0,27.77,9.14,29.89,17.08,73.9,75.01,23.12,50.0,50.74,28.77,40.6,211.51,13.36,24.93,9.72,50.88,106.5,126.6,129.8
12,20180704,22.52,51.36,69.13,25.6,130.03,21.9,96.76,15.74,34.16,75.66,21.4,28.54,9.68,30.16,18.1,74.1,77.07,23.83,50.1,53.44,28.48,40.2,217.28,13.36,25.3,10.3,54.41,105.0,128.06,131.37
13,20180703,22.67,50.03,71.57,25.5,133.32,21.5,95.12,15.74,33.31,78.99,20.96,27.92,9.59,29.89,17.76,74.0,73.83,22.73,50.0,52.96,28.1,40.1,219.3,13.36,23.96,10.35,54.8,99.7,130.02,133.73
14,20180702,24.34,50.92,74.98,25.6,138.95,23.1,96.86,15.93,34.33,84.13,21.76,29.54,10.27,30.16,18.82,76.0,78.92,22.88,51.1,56.22,29.1,40.3,221.12,13.14,25.54,11.1,56.85,107.2,135.89,134.52
15,20180629,25.57,51.89,79.16,26.45,143.08,24.25,98.8,16.31,35.44,84.23,22.34,29.54,11.0,30.25,19.85,79.0,84.08,22.88,51.0,56.22,30.29,43.0,216.8,14.09,26.47,11.55,56.76,107.5,138.62,133.73
16,20180628,25.47,52.69,79.55,25.0,141.77,24.3,98.8,16.22,36.3,83.09,22.74,29.88,11.0,30.61,20.07,79.0,84.6,23.04,50.7,56.7,29.72,43.1,210.93,14.54,26.47,11.55,56.66,107.5,135.31,133.73
17,20180627,26.35,52.78,81.11,26.25,146.46,25.0,100.25,16.41,37.83,83.94,22.92,30.38,11.46,31.16,20.68,81.0,87.03,23.32,50.6,57.47,30.19,42.95,214.11,14.18,27.58,11.8,56.76,103.47,138.98,137.66
18,20180626,27.34,52.87,81.79,26.45,145.8,26.0,100.74,16.41,38.0,83.76,23.01,31.62,11.41,30.43,21.13,82.5,88.51,23.32,50.5,58.24,30.19,46.0,214.11,14.23,29.16,12.0,58.03,102.15,140.85,138.37
19,20180625,27.73,52.33,84.42,26.0,148.34,26.35,101.22,16.74,38.52,84.69,23.41,31.92,11.36,30.98,21.36,83.0,89.17,23.43,50.7,59.2,30.29,46.25,216.61,14.18,29.39,12.15,58.13,102.23,140.94,140.97
20,20180622,27.04,52.25,82.77,26.6,145.52,25.9,101.32,16.03,38.43,84.41,23.32,31.5,11.5,29.98,21.13,81.0,86.22,23.28,50.5,58.05,29.81,43.25,217.28,14.45,29.34,12.0,57.44,101.49,142.48,140.02
21,20180621,26.35,51.54,78.87,26.7,145.62,25.35,96.86,15.84,37.92,82.92,23.01,30.19,11.27,30.16,20.53,81.0,84.08,23.04,50.2,57.31,29.81,46.5,217.28,13.54,28.69,11.7,55.78,102.48,141.02,133.73
22,20180620,27.53,53.13,80.82,26.8,147.4,26.15,98.31,15.98,38.77,85.62,23.54,30.77,11.55,30.16,21.13,81.0,85.41,23.04,50.4,58.51,30.14,49.9,219.11,13.86,29.25,12.0,56.85,103.31,138.49,132.79
23,20180619,26.35,52.87,79.85,26.4,140.83,25.4,96.86,15.6,38.0,80.96,23.1,29.5,11.09,29.8,20.83,80.0,84.82,22.96,50.3,57.22,29.81,51.2,216.32,13.91,28.79,11.7,55.29,101.65,130.35,130.82
24,20180618,26.85,54.72,83.74,26.3,141.95,25.85,99.77,16.03,38.77,83.76,23.99,30.92,11.64,29.98,21.21,84.0,87.03,23.12,51.7,59.05,29.91,55.0,223.05,13.32,29.02,12.0,55.29,101.98,134.42,135.85
25,20180615,28.52,55.17,83.25,27.15,151.34,27.1,101.61,16.36,39.71,89.25,25.06,33.08,11.91,29.44,22.27,85.0,91.31,23.51,53.0,61.62,31.52,56.8,225.55,13.27,31.11,12.4,57.73,102.07,140.94,141.6
26,20180614,27.83,54.02,84.71,27.0,150.22,26.8,101.7,16.69,39.8,87.48,24.88,32.77,12.0,30.89,21.66,84.5,90.72,22.96,52.6,61.07,31.33,61.0,224.1,13.64,30.27,12.55,56.85,104.13,142.57,141.6
27,20180613,29.16,54.02,90.07,27.4,151.16,27.45,101.7,16.55,39.97,89.9,24.75,33.38,11.64,30.89,22.35,83.5,90.42,22.81,53.3,61.34,31.8,62.0,226.03,13.45,31.53,12.8,58.62,105.79,146.39,142.38
28,20180612,29.11,52.78,90.95,28.4,147.12,27.4,101.32,16.55,39.54,85.8,24.35,32.69,11.46,30.89,22.31,82.4,88.58,22.88,53.6,59.33,31.71,64.8,229.78,13.73,31.2,12.8,56.76,102.81,145.82,142.38
29,20180611,30.48,54.55,93.38,28.6,150.31,28.05,104.22,17.09,40.57,90.46,24.88,33.3,12.09,31.34,22.95,85.0,90.5,22.92,53.5,60.7,32.28,65.2,233.62,14.36,31.62,12.6,57.73,102.73,149.9,141.67
30,20180608,30.98,55.34,93.38,28.95,147.87,28.55,105.58,17.09,40.95,90.74,25.69,33.68,11.96,31.25,23.29,86.0,89.24,22.81,54.0,62.44,32.56,61.0,235.55,14.45,31.57,12.9,58.42,102.64,145.82,139.24
31,20180607,30.68,56.05,93.38,29.0,149.94,28.35,106.55,17.04,40.82,92.69,25.86,34.01,11.18,31.52,23.41,87.3,85.85,23.28,54.5,61.25,32.56,61.6,238.43,14.45,30.97,13.0,57.44,102.64,145.82,139.47
32,20180606,31.27,56.67,92.6,29.2,153.97,28.95,106.55,16.1,41.42,95.76,26.22,33.41,11.59,32.15,23.14,85.5,87.4,23.43,52.2,61.53,33.18,61.9,237.47,14.18,31.48,13.3,57.83,102.56,142.24,137.66
33,20180605,29.89,55.43,92.41,28.05,146.46,28.4,111.39,16.24,40.82,91.85,24.97,32.42,11.68,30.61,23.07,85.4,81.8,22.57,52.1,60.06,32.56,62.7,238.05,14.32,31.11,12.9,57.34,100.08,140.94,139.24
34,20180604,29.99,54.19,92.41,27.65,138.01,27.95,105.58,15.79,40.35,85.9,24.39,32.97,10.96,30.7,23.07,84.2,80.39,22.29,52.1,57.5,32.18,62.0,232.28,14.36,31.02,12.55,58.03,99.17,138.74,136.49
35,20180601,29.21,54.99,88.32,28.1,133.88,27.45,101.22,15.16,39.67,86.08,23.19,31.32,10.27,30.8,22.16,83.9,80.39,22.22,51.6,57.22,31.43,61.0,235.55,13.64,30.04,11.75,55.78,98.35,129.69,131.19
36,20180531,28.76,56.23,84.23,28.2,133.32,27.1,101.22,14.89,39.29,84.13,22.79,30.82,9.64,30.66,22.04,81.0,78.33,22.29,51.0,56.77,31.28,60.7,230.74,13.41,29.72,11.75,52.94,95.87,121.22,128.07
37,20180530,27.14,53.13,82.67,28.3,129.56,25.65,96.86,14.8,38.82,83.1,22.47,29.01,9.17,30.66,20.87,80.0,75.97,21.78,50.8,53.56,30.38,56.8,220.16,13.04,27.81,11.5,50.88,91.74,119.75,129.08
38,20180529,27.14,52.78,81.21,28.9,124.49,26.05,97.83,14.8,40.48,89.34,22.56,28.57,9.3,31.07,21.29,80.0,77.44,21.63,53.1,54.84,30.95,53.2,220.16,13.0,27.3,11.6,48.93,90.91,123.83,131.5
39,20180528,25.37,51.8,79.85,28.4,116.42,24.35,92.99,14.8,38.86,91.2,21.23,26.76,8.89,30.61,19.92,80.0,75.45,21.23,51.0,51.27,29.24,57.0,223.05,12.95,25.54,10.85,45.8,91.74,120.9,128.69
40,20180525,27.24,52.87,83.74,29.6,114.54,26.15,96.86,15.34,41.76,97.99,22.74,28.63,9.55,31.16,21.36,83.5,81.13,21.31,52.0,54.48,30.86,61.2,224.97,13.91,27.39,11.65,48.93,88.43,129.94,129.47
41,20180524,29.16,52.87,83.74,29.5,121.58,27.35,97.83,15.7,43.07,105.35,23.37,28.79,9.71,30.7,22.16,84.5,83.86,21.39,50.6,57.68,31.61,65.1,233.43,14.91,28.28,12.05,52.16,86.03,139.71,131.03
42,20180523,29.94,53.4,84.71,29.85,129.56,28.0,99.77,16.46,43.87,105.44,23.63,28.41,10.08,31.7,22.19,85.0,83.34,21.39,50.2,57.96,32.47,70.0,233.62,15.45,28.97,12.15,53.33,85.12,145.01,130.48
43,20180522,28.81,52.16,81.79,29.9,135.76,27.1,98.8,16.68,43.22,98.55,23.41,27.75,10.08,32.06,21.82,85.0,80.39,21.23,50.4,56.77,32.28,71.9,238.33,15.36,27.9,12.0,52.25,87.93,144.11,126.35
44,20180521,30.98,51.01,87.93,30.3,135.76,28.8,100.25,16.95,44.16,100.97,24.26,29.23,10.83,32.2,22.42,89.0,81.35,22.18,52.0,60.43,33.99,75.0,241.31,15.77,29.72,12.6,54.51,94.55,149.9,129.47
45,20180518,32.4,51.36,94.45,30.1,135.2,29.45,99.77,17.04,44.02,107.02,24.88,29.62,11.57,32.52,22.95,92.5,78.18,23.28,53.0,63.17,34.37,76.3,242.66,15.86,30.64,12.75,55.29,101.65,154.79,133.45
46,20180517,32.45,52.33,91.43,30.7,135.2,29.2,99.96,17.31,43.87,107.95,24.88,29.12,11.74,32.52,22.65,87.0,76.12,23.36,52.6,62.26,34.37,76.0,232.18,15.64,31.2,12.75,55.58,101.65,153.16,128.69
47,20180516,32.65,53.13,95.72,30.05,136.7,29.1,101.22,17.31,43.8,111.4,25.15,29.67,11.82,32.56,22.95,92.9,77.44,23.36,52.6,63.17,34.37,80.0,242.28,15.64,32.04,13.05,55.78,107.44,158.7,131.89
48,20180515,34.02,53.13,99.32,30.7,140.73,29.85,104.32,17.85,44.45,110.37,24.53,30.44,11.98,32.56,23.48,96.2,78.77,23.36,53.5,64.64,34.94,82.4,240.35,16.0,32.97,13.1,57.44,109.09,160.49,137.27
