DTYYYYMMDD,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
2018-05-09,30000,42279.0744,31318.6813,23633.2944,95000,34274.7191,15809.7523,33242.4967,13500,58225.1565,101570.2479,144275.4496
2018-05-10,28000,42206.6787,30329.6703,22383.4567,94000,33705.0562,15583.8987,31849.6547,12900,55289.4344,99586.7769,140376.1131
2018-05-11,29400,43075.4268,30604.3956,23140.9341,93900,33942.4157,16171.1181,32128.2231,13100,56659.438,102479.3388,138816.3785
2018-05-14,29500,44595.736,30659.3407,23481.7989,98000,34464.6067,16261.4596,32499.6476,13100,57050.8677,109090.9091,138816.3785
2018-05-15,29850,44450.9446,30439.5604,23481.7989,96200,34939.3258,15900.0938,32963.9283,13100,57442.2973,109090.9091,137256.6439
2018-05-16,29100,43799.3835,29670.3297,22951.5647,92900,34369.6629,15538.728,32035.3669,13050,55778.7214,107438.0165,131875.5596
2018-05-17,29200,43871.7792,29120.8791,22648.5738,87000,34369.6629,15538.728,31199.6617,12750,55583.0066,101652.8926,128678.1037
2018-05-18,29450,44016.5706,29615.3846,22951.5647,92500,34369.6629,15764.5816,30642.5249,12750,55289.4344,101652.8926,133435.2942
2018-05-21,28800,44161.3619,29230.7692,22421.3306,89000,33989.8876,15674.2402,29713.9635,12600,54506.5751,94545.4545,129457.971
2018-05-22,27100,43220.2181,27747.2527,21815.3487,85000,32280.8989,15267.7037,27903.2689,12000,52255.8548,87933.8843,126338.5018
2018-05-23,28000,43871.7792,28406.5934,22194.0873,85000,32470.7865,15358.0451,28971.1144,12150,53332.2862,85123.9669,130471.7984
2018-05-24,27350,43075.4268,28791.2088,22156.2135,84500,31616.2921,14815.9965,28274.6934,12050,52157.9974,86033.0579,131017.7055
2018-05-25,26150,41764.597,28626.3736,21360.8622,83500,30856.7416,13822.2406,27392.5601,11650,48928.703,88429.7521,129457.971
2018-05-28,24350,38860.7191,26758.2418,19921.6552,80000,29242.6966,12873.6555,25535.4374,10850,45797.266,91735.5372,128678.1037
2018-05-29,26050,40483.4744,28571.4286,21285.1145,80000,30951.6854,12918.8262,27299.704,11600,48928.703,90909.0909,131485.6259
2018-05-30,25650,38818.015,29010.989,20868.5019,80000,30382.0225,12963.9969,27810.4127,11500,50885.8511,91735.5372,129068.0373
2018-05-31,27100,39287.7599,30824.1758,22042.5919,81000,31283.9888,13325.3627,29713.9635,11750,52940.8566,95867.7686,128054.2098
2018-06-01,27450,39672.0967,31318.6813,22156.2135,83900,31426.4045,13551.2163,30038.96,11750,55778.7214,98347.1074,131173.679
2018-06-04,27950,40355.3621,32967.033,23065.1863,84200,32185.9551,14273.9478,31013.9494,12550,58029.4417,99173.5537,136476.7766
2018-06-05,28400,40825.1071,32417.5824,23065.1863,85400,32565.7303,14228.7771,31106.8056,12900,57344.4399,100082.6446,139229.9104
2018-06-06,28950,41422.9643,33406.5934,23140.9341,85500,33182.8652,14093.2649,31478.2301,13300,57833.7269,102561.9835,137656.6911
2018-06-07,28350,40825.1071,34010.989,23406.0512,87300,32565.7303,14364.2893,30967.5214,13000,57442.2973,102644.6281,139465.8933
2018-06-08,28550,40953.2193,33681.3187,23292.4296,86000,32565.7303,14364.2893,31571.0863,12900,58420.8714,102644.6281,139229.9104
2018-06-11,28050,40568.8826,33296.7033,22951.5647,85000,32280.8989,14273.9478,31617.5143,12600,57735.8695,102727.2727,141668.4004
2018-06-12,27400,39543.9845,32692.3077,22307.709,82400,31711.236,13641.5577,31199.6617,12800,56757.2955,102809.9174,142376.3491
2018-06-13,27450,39971.0253,33384.6154,22345.5828,83500,31806.1798,13370.5334,31524.6582,12800,58616.5862,105785.124,142376.3491
2018-06-14,26800,39800.209,32769.2308,21663.8532,84500,31331.4607,13551.2163,30271.1003,12550,56855.1529,104132.2314,141589.7394
2018-06-15,27100,39714.8008,33076.9231,22269.8351,85000,31521.3483,13189.8505,31106.8056,12400,57735.8695,102066.1157,141589.7394
2018-06-18,25850,38775.3109,30923.0769,21209.3667,84000,29907.3034,13235.0212,29017.5425,12000,55289.4344,101983.4711,135847.4889
2018-06-19,25400,38006.6373,29500.0,20830.6281,80000,29812.3595,13822.2406,28785.4022,11700,55289.4344,101652.8926,130813.187
2018-06-20,26150,38775.3109,30769.2308,21133.619,81000,30144.6629,13777.0699,29249.6829,12000,56855.1529,103305.7851,132779.7112
2018-06-21,25350,37921.2292,30192.3077,20527.6371,81000,29812.3595,13460.8749,28692.546,11700,55778.7214,102479.3388,133723.6428
2018-06-22,25900,38433.6782,31500.0,21133.619,81000,29812.3595,14364.2893,29342.539,12000,57442.2973,101487.6033,140016.5201
2018-06-25,26350,38519.0864,31923.0769,21360.8622,83000,30287.0787,14093.2649,29388.9671,12150,58127.2991,102231.405,140960.4517
2018-06-26,26000,38006.6373,31615.3846,21133.619,82500,30192.1348,14138.4357,29156.8267,12000,58029.4417,102148.7603,138364.6398
2018-06-27,25000,37835.821,30384.6154,20679.1326,81000,30192.1348,14093.2649,27578.2724,11800,56757.2955,103471.0744,137656.6911
2018-06-28,24300,36298.4739,29884.6154,20073.1507,79000,29717.4157,14454.6307,26463.9988,11550,56659.438,107500.0,133723.6428
2018-06-29,24250,35444.3921,29538.4615,19845.9075,79000,30287.0787,14002.9235,26463.9988,11550,56757.2955,107500.0,133723.6428
2018-07-02,23100,34334.0859,29538.4615,18823.313,76000,29100.2809,13054.3384,25535.4374,11100,56855.1529,107200.0,134510.2524
2018-07-03,21500,33309.1878,27923.0769,17762.8447,74000,28103.3708,13280.192,23956.8831,10350,54800.1473,99700.0,133723.6428
2018-07-04,21900,34163.2695,28538.4615,18103.7095,74100,28483.1461,13280.192,25303.2971,10300,54408.7177,105000.0,131363.8138
2018-07-05,20500,33736.2286,27769.2308,17081.115,73900,28767.9775,13280.192,24931.8725,9720,50885.8511,106500.0,129790.5945
2018-07-06,21900,34846.5349,28307.6923,18253.3113,74000,29147.7528,13460.8749,26556.8549,10400,53821.5733,106200.0,130577.2041
2018-07-09,22100,34291.3818,27461.5385,18388.521,74200,28957.8652,13822.2406,25814.0058,10400,52842.9992,105000.0,131363.8138
2018-07-10,22350,34504.9022,27307.6923,18568.8006,74200,29100.2809,13822.2406,25674.7216,10400,51962.2826,103000.0,131363.8138
2018-07-11,20900,33480.0041,26461.5385,17487.1229,74000,28388.2022,13551.2163,24142.5954,10000,50102.9918,104500.0,131363.8138
2018-07-12,21800,33138.3714,25961.5385,18208.2414,74000,28150.8427,13596.387,24235.4515,10150,51277.2807,103000.0,132386.4064
2018-07-13,22600,34675.7186,27384.6154,18749.0802,74900,28673.0337,13686.7285,25489.0093,10450,53625.8585,103000.0,130813.187
2018-07-16,22800,34931.9431,27307.6923,19289.9191,74200,28815.4494,13777.0699,25349.7251,10500,53723.7159,102500.0,132150.4235
2018-07-17,24000,35786.0248,27769.2308,20146.2472,74500,29147.7528,13686.7285,25814.0058,10750,54604.4325,104000.0,132071.7625
2018-07-18,24900,36640.1066,28615.3846,20822.2958,76000,31141.573,13641.5577,27113.9917,11200,56268.0084,105000.0,132937.0331
2018-07-19,24400,36298.4739,28615.3846,20371.5968,79100,31711.236,13641.5577,26835.4233,11000,55583.0066,105000.0,134116.9476
2018-07-20,24700,35529.8003,28230.7692,21002.5754,79100,31046.6292,13280.192,27067.5637,11000,55583.0066,103600.0,133330.338
2018-07-23,23600,35871.433,28423.0769,20596.9463,79100,32280.8989,13731.8992,26139.0023,11750,55387.2918,104000.0,133723.6428
2018-07-24,23550,36042.2493,27230.7692,20371.5968,80500,31853.6517,14273.9478,25442.5813,11400,55778.7214,104500.0,133644.9818
2018-07-25,22800,36213.0657,27307.6923,19830.7579,81000,31901.1236,14635.3136,24606.876,11200,54115.1455,104400.0,133644.9818
2018-07-26,23000,36341.1779,28076.9231,20281.457,81000,32185.9551,14635.3136,25721.1497,11250,55485.1492,106000.0,134903.5573
2018-07-27,23400,36981.7393,28692.3077,20732.156,81300,32280.8989,14770.8258,25906.862,11200,55289.4344,106400.0,132779.7112
2018-07-30,23850,36981.7393,28500.0,21182.855,81400,32755.618,15177.3622,26556.8549,11500,56072.2936,106400.0,132543.7283
2018-07-31,23600,36554.6984,28730.7692,21137.7851,84200,33515.1685,15087.0208,26835.4233,11450,57246.5825,106400.0,132307.7454
2018-08-01,23200,35871.433,28923.0769,20822.2958,84200,32755.618,14906.3379,26928.2795,11300,57344.4399,106500.0,131285.1528
2018-08-02,22950,36469.2902,28653.8462,20687.0861,84200,33230.3371,14725.655,27253.2759,11050,57735.8695,106700.0,129790.5945
2018-08-03,22850,36383.882,27923.0769,20822.2958,85000,32280.8989,14906.3379,26974.7075,11050,57246.5825,111500.0,127116.1216
2018-08-06,22850,36084.9534,27807.6923,20596.9463,87400,31806.1798,14725.655,26556.8549,11150,57735.8695,111500.0,125778.8852
2018-08-07,23050,35828.7289,27807.6923,20551.8764,90000,31331.4607,14680.4843,26881.8514,11150,60182.3047,110300.0,120351.2785
2018-08-08,23950,36298.4739,28230.7692,21002.5754,90000,32755.618,14725.655,27438.9882,11350,60769.4491,108800.0,122317.8027
2018-08-09,24050,36554.6984,28115.3846,20867.3657,89900,32185.9551,14454.6307,27485.4163,11300,59986.5898,104200.0,123497.7172
2018-08-10,24250,36810.9229,28461.5385,20957.5055,89000,32328.3708,14635.3136,28135.4092,11250,62139.4528,104200.0,123655.0391
2018-08-13,25750,37109.8515,29461.5385,21949.0434,90900,32328.3708,14635.3136,29249.6829,11800,62433.025,102800.0,122789.7685
2018-08-14,25300,37835.821,29615.3846,21498.3444,93500,33230.3371,14906.3379,28785.4022,11600,61454.4509,103300.0,124362.9878
2018-08-15,25200,37408.7801,28846.1538,21002.5754,91500,32708.1461,15358.0451,27856.8408,11400,59301.588,101900.0,124677.6317
2018-08-16,26150,37583.5875,28846.1538,21363.1347,90000,33135.3933,15900.0938,27671.1285,11400,59301.588,102100.0,124756.2926
2018-08-17,26000,38020.606,29000.0,21092.7152,89600,32565.7303,16577.6546,27578.2724,11200,60671.5917,102300.0,124677.6317
2018-08-20,25700,38195.4133,28653.8462,20642.0162,89900,32423.3146,16893.8496,27067.5637,11150,60084.4473,102600.0,125936.2071
2018-08-21,26500,38195.4133,28846.1538,21137.7851,90300,32708.1461,17345.5569,28413.9776,11200,61356.5935,103100.0,128217.3751
2018-08-22,26250,38501.3263,29230.7692,21092.7152,92000,33420.2247,17345.5569,28042.5531,11450,60573.7343,103600.0,128217.3751
2018-08-23,26100,38807.2392,29307.6923,21137.7851,91200,34559.5506,17345.5569,28367.5496,11400,61258.7361,104600.0,128453.358
2018-08-24,26100,38850.941,29500.0,21182.855,90600,34559.5506,17842.4348,28042.5531,11300,60671.5917,104000.0,127588.0874
2018-08-27,27200,38807.2392,29961.5385,21543.4143,91200,34559.5506,17435.8983,28646.118,11400,61748.0232,104200.0,126093.529
2018-08-28,27250,38632.4318,30692.3077,21543.4143,91400,34179.7753,17164.874,29435.3951,11500,62628.7398,104200.0,125306.9194
2018-08-29,27000,38632.4318,30461.5385,21408.2046,91000,33989.8876,17300.3861,29621.1074,11400,61748.0232,103000.0,123969.683
2018-08-30,27600,38588.73,30500.0,21723.6939,97000,34654.4944,17210.0447,29946.1039,11500,62433.025,103400.0,123104.4123
2018-08-31,27150,38632.4318,30730.7692,21363.1347,95000,33989.8876,17164.874,29342.539,11350,61160.8787,103400.0,123261.7343
2018-09-04,25900,38545.0281,30000.0,20822.2958,94000,33610.1124,16893.8496,28506.8338,11250,59693.0176,102100.0,123261.7343
2018-09-05,26050,37845.7986,29692.3077,20506.8065,93000,33040.4494,16984.1911,28692.546,11100,59301.588,101500.0,119994.9397
2018-09-06,25900,37015.4635,29730.7692,20236.387,94800,32660.6742,17661.7519,28692.546,11050,59008.0158,98000.0,116744.0808
2018-09-07,26500,37583.5875,30538.4615,20596.9463,95000,33135.3933,17977.9469,29249.6829,11300,60671.5917,97200.0,121524.7557
2018-09-10,26200,37190.2709,30153.8462,20416.6667,91500,32708.1461,17842.4348,29063.9706,11750,60671.5917,99300.0,122002.8232
2018-09-11,26950,37714.693,30769.2308,20732.156,92500,33230.3371,17797.2641,29899.6758,11800,61650.1657,101200.0,126209.8171
2018-09-12,26500,37627.2894,30384.6154,20506.8065,92600,33515.1685,17977.9469,29435.3951,12100,61258.7361,101400.0,126592.2711
2018-09-13,26650,37933.2023,30576.9231,20551.8764,92400,33515.1685,18248.9713,29528.2513,12050,61552.3083,100300.0,126305.4306
2018-09-14,26950,38938.3447,30384.6154,20371.5968,91600,33847.4719,18519.9956,29806.8197,12000,62628.7398,101000.0,127165.9521
2018-09-17,26600,38545.0281,30346.1538,19920.8977,91600,33230.3371,18429.6542,29063.9706,11850,61552.3083,99000.0,130034.357
2018-09-18,26900,39156.854,30346.1538,19920.8977,90100,33705.0562,18429.6542,29713.9635,12400,61943.738,99600.0,131946.627
2018-09-19,26800,39724.978,30500.0,20191.3171,91200,33705.0562,18881.3614,29946.1039,12550,61943.738,98600.0,131755.4
2018-09-20,27450,40118.2946,31461.5385,20371.5968,92500,34369.6629,18926.5321,30271.1003,12650,63020.1694,98500.0,130034.357
2018-09-21,28100,40118.2946,31769.2308,20687.0861,91000,34179.7753,18971.7028,30549.6688,12700,63215.8842,98600.0,131755.4
2018-09-24,28000,40293.102,31769.2308,20912.4356,94500,34844.382,19423.41,30781.8091,12550,63803.0287,99600.0,130990.492
2018-09-25,27800,40118.2946,31730.7692,20642.0162,94400,34369.6629,19287.8979,30596.0968,12650,63020.1694,99500.0,130894.8785
2018-09-26,27650,40249.4001,31538.4615,20732.156,93500,35319.1011,19423.41,30642.5249,12700,62433.025,99000.0,130512.4245
2018-09-27,27600,40380.5056,31961.5385,20732.156,92500,35176.6854,19378.2393,31199.6617,12650,62041.5954,98600.0,132424.6945
2018-09-28,27550,40467.9093,32538.4615,20822.2958,92800,35034.2697,19152.3857,31106.8056,13500,61650.1657,98300.0,131277.3325
2018-10-01,27050,40205.6983,32615.3846,20822.2958,93900,34654.4944,18610.337,30828.2372,13850,61160.8787,98500.0,130321.1975
2018-10-02,27100,39593.8724,31769.2308,20642.0162,94000,34274.7191,18565.1663,30688.953,13900,61650.1657,102000.0,130990.492
2018-10-03,27500,39768.6798,31769.2308,20822.2958,93200,34654.4944,18791.0199,30967.5214,13850,61650.1657,102200.0,130894.8785
2018-10-04,27700,40074.5927,31846.1538,21633.5541,93900,35081.7416,18565.1663,31876.9231,13850,61650.1657,100600.0,130894.8785
2018-10-05,27100,39856.0835,31884.6154,21363.1347,91000,35176.6854,18429.6542,31206.8376,13800,61551.0497,98500.0,129269.449
2018-10-08,26850,39331.6613,31692.3077,21408.2046,89800,35081.7416,18429.6542,31158.9744,13850,61055.4696,96600.0,127165.9521
2018-10-09,26700,39069.4503,31538.4615,20777.2259,88000,35129.2135,18610.337,31254.7009,13550,61154.5856,96600.0,125158.0686
2018-10-10,26450,39593.8724,31846.1538,20506.8065,84500,34701.9663,18881.3614,31206.8376,13400,61154.5856,96600.0,124297.5472
2018-10-11,24600,37321.3764,30692.3077,19154.7093,78600,32280.8989,18068.2884,29052.9915,12500,57189.9448,93000.0,121429.1422
2018-10-12,25400,38282.817,31384.6154,19650.4783,81300,32992.9775,18474.8249,29627.3504,13050,59370.4972,96000.0,122863.3447
2018-10-15,24750,37583.5875,31038.4615,19199.7792,78500,32091.0112,18294.142,29005.1282,12950,58577.5691,95500.0,120186.1667
2018-10-16,25150,37802.0967,31346.1538,19605.4084,78600,32613.2022,18474.8249,29052.9915,13600,58676.6851,98600.0,120473.0072
2018-10-17,25300,38108.0097,31538.4615,19515.2686,81000,33230.3371,18610.337,29483.7607,13550,58676.6851,99000.0,121333.5287
2018-10-18,24850,38108.0097,31538.4615,19064.5695,80200,32565.7303,18294.142,29100.8547,13500,57487.2928,99100.0,120473.0072
2018-10-19,24700,37583.5875,31346.1538,18929.3598,81000,32091.0112,18519.9956,28861.5385,13450,57189.9448,99100.0,121237.9152
2018-10-22,24450,37714.693,30846.1538,19019.4996,79200,32280.8989,18384.4834,28717.9487,12950,56595.2486,99100.0,120281.7802
2018-10-23,23650,36884.358,30384.6154,19289.9191,77500,31521.3483,18610.337,27760.6838,12550,55306.7403,99000.0,118082.6698
2018-10-24,23200,36534.7432,30153.8462,18974.4297,75000,31094.1011,18700.6785,27090.5983,12600,55009.3923,98800.0,117222.1483
