lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.267,-238047.2532137124,0.0008815455147653641,0.3999999999999991,0.11626999239813875,0.008118556621150195,0.0008057932486163022,0.0005827428131014048,0.0716540305411082,0.0008815456145163181,0.3999999999999838,0.0008057932486216454
0.2675,-237754.18668446693,0.00013790556856733708,0.39999999999995417,0.08019579645103328,0.04042992493210154,0.0001379055469053388,3.1080310049988736e-05,0.07879157564226884,0.0001379060022061429,0.4,0.00013790554691410248
0.268,-237095.88763970172,0.000281968148937405,0.3951058597648191,0.09372257891399273,0.05390036489024775,0.0002741952806558964,0.00022867100943534121,0.06756396510267465,0.0002819681489361908,0.3883662334596407,0.00027419528066115043
0.2685,-237332.0740398008,2.430655805632213e-05,0.3999999954959831,0.0981312856625106,0.015029251070652068,2.3928391779460848e-05,2.378265146874989e-05,0.09740520865829456,4.83433444726668e-05,0.3892899697749183,2.3928391864508106e-05
0.269,-236935.95463332327,0.0004835000641962793,0.3999999828884416,0.10228878183526932,0.011027591635241994,0.0004500525002864454,0.00016953311852290376,0.08466102527018912,0.00048350021173074355,0.3999859799755533,0.00045005250057039735
0.2695,-234702.2391467139,0.00758975079823956,0.39999999999889024,0.07313811768749214,0.02603300906296926,0.0022991289499737838,0.0020514625466809266,0.10396318409437544,0.00754260227418632,0.3750836156368277,0.00229912895036515
0.27,-235966.2315492973,0.0006309313344869983,0.3999999999970124,0.07995985247234501,0.03788492885957069,0.0006309012794638597,0.00021331409932621824,0.07938273540166074,0.0006666037002108281,0.3999999999951836,0.0006307328607411647
0.2705,-235672.09799667372,0.001582216568524885,0.3999872472092121,0.10957002264371116,0.01426243002003556,0.0003000580947225643,0.00019437376123900907,0.07070725021672236,0.0031103348383483016,0.3999842399773717,0.00030182667011231025
0.271,-234557.7950559271,0.00500903555729345,0.3755598827741466,0.1027780523345979,0.035487810825439614,0.00013878703294084937,0.00013711720012089874,0.1006144190225523,0.004783062922050839,0.3753547068487173,0.00013712548214360543
0.2715,-234430.98751733144,0.009387616862939338,0.3999296398242593,0.08239685427914048,0.009387616862902027,0.000487421128530986,0.0004823770672597434,0.10155621047753126,0.003218911341706661,0.3926659310271439,0.000487421128587279
0.272,-234705.9895756278,0.0028524771342468324,0.39999999999999897,0.0917614036620876,0.010294385420498613,0.0007135061960805584,6.531557695667905e-05,0.0915236581702847,0.0028525582506453173,0.3998659398442762,7.075574492502218e-05
0.2725,-234664.9206425075,0.0012603564321089454,0.3999999999999931,0.10164287350439667,0.008318875109022341,6.193620678941236e-05,4.811208468387225e-05,0.08733586634370352,0.0012700441141946155,0.3999999999999777,6.193620513051023e-05
0.273,-233810.6108349621,0.0009151948330295664,0.4,0.05523827008177636,0.041125900944631616,0.0009151948328631383,0.0004552212765958387,0.09961696507458136,0.000915195121002592,0.3999028630015684,0.0009151948339525557
0.2735,-233505.05324175922,4.1775851040963144e-05,0.4,0.0887635583707912,0.012938031665716259,4.129891664256874e-05,4.1298457387185916e-05,0.0885767452524456,0.009555920525208624,0.4,4.137096076867848e-05
