lambda,markovitz_sqrt,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.115,-310021.73287151236,0.0008849685124786024,0.4,0.17627411457137435,0.0036209383412609594,0.0004209083732084706,0.0001201148717197941,0.015787686876842955,0.0024703600964614447,0.4,0.0004209083566605996
0.12,-306028.51561195,0.0002526657729084614,0.4000000000000001,0.1953985812742826,0.0004877915925817984,0.00018983742740343303,0.000178313338661826,0.002971118482700306,0.0003318777430483284,0.4,0.00018981436841855563
0.125,-300618.7063358979,0.000608953843145812,0.4,0.16646335569083326,0.008686277849209308,0.0005969567936501218,0.00022968922222272808,0.02018845555712625,0.0029948178446858728,0.4,0.0002314931991355352
0.13,-295717.123947171,0.0015885156723978648,0.3999999999999997,0.1513568207971015,0.020908639275951317,0.00020024917303996503,0.00020019276105414253,0.023691089882598774,0.001854299479406244,0.4,0.00020019295845302186
0.135,-290806.8924734015,0.003571379502507844,0.4,0.1541339831616591,0.008176853682026097,0.00138131296184878,0.00028171724775818367,0.027511978436081483,0.0035790816060553596,0.4,0.0013636934020664366
0.14,-285559.5698700818,0.002453109964574813,0.4,0.14642672309745353,0.016035697340366483,0.0024530489165567296,0.0014071262521586686,0.02258944078895195,0.007227135769907784,0.4,0.0014077178700318779
0.145,-282835.6817986187,0.00042607394310844747,0.4,0.1862835496982708,0.003275776439205005,0.00042187894380109846,0.0002177422218921943,0.00857100863746767,0.00055456427655165,0.4,0.0002494058397105428
0.15,-277888.1100856116,0.0005354912213838491,0.4,0.16469684923294206,0.008996185970511586,0.0005350434271945222,0.00025733769245312767,0.02385272902469644,0.0005915029959930063,0.3999999999989737,0.0005348604358580185
0.155,-272593.81287523446,0.0016494624571431475,0.4,0.1390847156663247,0.007640711894589132,0.0014977231203013243,0.0005963511556556041,0.045259835154641916,0.0036748030556379655,0.4,0.0005963974957140751
0.16,-268210.30417378474,0.0005563950711251306,0.4,0.12186575114276972,0.012613491491054098,0.000506394218037564,0.0004849383195682719,0.06290957753148009,0.0005574430966164068,0.4,0.0005060091293510147
0.165,-263964.023563876,0.0006985267846012884,0.4,0.15720684210018515,0.013074078421956452,0.0006969418674349767,0.0005402447881975655,0.026224463965146674,0.0010186572837901542,0.4,0.000540244788693213
0.17,-259499.52085924183,0.0009554487181101123,0.4,0.14901120830934209,0.005784098703819782,0.0009329515805586789,8.786701429842135e-05,0.04174020363859548,0.0013694399051965445,0.4,0.00011878213008431355
0.175,-253998.1635636825,0.0015956877366966394,0.4,0.1267403794057166,0.026757676879423986,0.0014498869820691624,0.0014031566963997866,0.03905384610106342,0.0015961976261022874,0.4,0.001403168572535208
0.18,-249874.33721224,0.002262697112621856,0.3999999999999999,0.13776133441146898,0.005892393396243007,0.0022564798781460694,0.0003785389750311515,0.04824310814995243,0.0022626971126461933,0.3999999999999997,0.0009427509638933749
0.185,-246166.4918358153,0.0005789207413502119,0.4,0.18002513217759014,0.0021411107911956766,0.0004185290226423613,2.2771460823032988e-05,0.016164393426819506,0.000578920765558595,0.4,7.022161402476157e-05
0.19,-241429.0467415663,0.0010381994645198612,0.4,0.17085491342715722,0.007000002260721189,0.0003837469430908728,5.6291656857762586e-05,0.019563766966064367,0.0010381994645198966,0.3999999999999674,6.487981710825057e-05
0.195,-236396.25831910444,0.0012587816903504114,0.4,0.15808206083693355,0.01130657171375239,0.0004212352014673525,0.00036864438065521433,0.023552926669244682,0.004588544313500308,0.4,0.0004212351940991919
0.2,-231793.62650514412,0.0007854928101910441,0.3999999999999999,0.12559819286872584,0.02308580081964713,0.0007840710539849168,0.0006002489425402001,0.04763752078647212,0.0007855031093201446,0.4,0.0007231696091206363
0.205,-227690.0926698116,0.0005627853220037725,0.4,0.15573092899782476,0.013451102837372787,0.00031517051408188734,6.586131038772533e-05,0.029116494082126382,0.000691795625817545,0.4,6.586131039029348e-05
0.21,-223265.53122419008,0.00035424106390614723,0.4000000000000001,0.12794533518064646,0.001352511710575811,0.0003542387613342913,6.0714314606427866e-05,0.06951495771950247,0.00035686534967697796,0.4,6.113589975993647e-05
0.215,-218586.12927645145,0.00031013185172933664,0.4,0.15303888080123468,0.008902344984103798,0.0003032857121205537,0.0003008271990339858,0.0360636554532697,0.000780034021686944,0.4000000000000001,0.00030083997683055195
0.22,-214011.07188389372,0.00014941503050381382,0.4,0.1313950955944399,0.011458578189311924,0.00014941503023700766,9.076936701587796e-05,0.05474529990019451,0.0019206575190333368,0.4,9.07693692729486e-05
0.225,-209554.47562880735,6.0077332667530446e-05,0.4,0.12043701469541693,0.011663316370591936,6.0077332667539126e-05,5.780540119699913e-05,0.0720070579954795,6.0252910198952137e-05,0.39559493788862493,5.9460073161684816e-05
0.23,-205136.99419927254,5.6933257220422776e-05,0.4,0.12470708690655018,0.007869082321318681,5.693325370972529e-05,5.621573713472459e-05,0.06711898856914192,7.854421804116718e-05,0.4,5.621573688835964e-05
0.235,-200235.72220598802,0.0008623436879418593,0.4,0.1127764009620254,0.02325437855037861,0.0008221103487514528,5.056391742992567e-05,0.06113572599743298,0.0010402672065969408,0.4,5.820932944784368e-05
0.24,-195388.70663642665,0.0006029464926757606,0.3999999999999999,0.11272750748266235,0.03251101414265916,0.0006028620749445032,0.00036099528652859287,0.04964246969803274,0.003056554024676585,0.4,0.0004956507978244722
0.245,-191368.22956638047,0.0001982038259849233,0.4,0.09803153025933643,0.010962966931384877,0.0001982038087869616,0.00018922804829048297,0.08899630275537397,0.0012338382318535512,0.4,0.00018972613899107367
0.25,-186500.47663257038,0.0018355968585110464,0.4,0.11119247106168807,0.0256510153141315,0.0003261844558000375,0.00029265773328112624,0.058541379531060124,0.0018355997855298261,0.4,0.0003250952600049732
0.255,-182418.97197597995,0.00039052261188281256,0.4,0.10694606014197806,0.0012925055309468373,0.00039051130198160727,0.00038202488874829036,0.08981452498130403,0.0004018256544152479,0.4,0.00038202488874860055
0.26,-177827.6838572147,0.00041134472855738414,0.3999999999999999,0.09543289092552064,0.017665979744296983,0.00014631738487140208,0.00010538991470399196,0.08530546726479506,0.000792854379913465,0.3999999999999781,0.00013975565736613216
0.265,-173433.05044212798,0.00021706810186264156,0.39999999999999625,0.09532445921333332,0.00937387402742166,0.00020246327262998969,9.321324584881212e-05,0.09499022216100876,0.0002171350358660765,0.39938225101339264,0.0001993139286465256
0.27,-168106.39494094328,0.002403854586617082,0.3896636664656085,0.10935566394112356,0.00500492704060211,0.0020854251765106,0.0004602916124644057,0.12306548708256485,0.002403840905379537,0.3650965515766679,0.0004602916124643917
0.275,-164255.5201671051,0.0003710136358704623,0.39999999999999775,0.08068326670738872,0.030677270349772693,0.00010426839176010576,8.133262587361106e-05,0.08760853528037225,0.0003719091146140362,0.3999996782544584,0.000102725639895857
0.28,-159837.8533480001,0.0002358490425512083,0.3999999999999972,0.08462517628938286,0.02319866764147696,0.00012023323789867613,0.00011830204872167141,0.09134762057186137,0.00023584801569902247,0.3999999999971065,0.00011830315530874363
0.285,-155451.56463978774,0.0003919500782721813,0.3999999999999999,0.09026006581001574,0.004481952049943099,0.00016951727531899104,5.85151202995713e-05,0.10479835393666803,0.0003919500733328271,0.3993147711080821,0.00013292454806891784
0.29,-150526.18030916993,0.001257637788421932,0.4,0.06660375800155112,0.02329246059789416,0.0012363072270675534,0.0005627127686960217,0.10625746514344636,0.001257609723550705,0.398969335980681,0.00056271276869451
0.295,-146097.84455609386,0.0023325420587942684,0.39999999999999575,0.07071500216848317,0.028826508790093245,7.127307599293332e-05,6.576238820080094e-05,0.10440291378352212,0.002110533169369451,0.3914097021773517,6.576238820080085e-05
0.3,-141907.74800640802,0.0006187230461706628,0.39999999999999897,0.06572294094103212,0.018011847388495598,0.00018544034987160533,2.9890700887198035e-05,0.1203652654472484,0.00018552909977822025,0.39473644406722186,0.00014391895929886966
0.305,-137351.09622601248,0.00047568224115139687,0.3961962408082002,0.07578905637187007,0.017357904462264543,0.00044014327541700197,0.0003577818892244288,0.12587271150197885,0.00047568220159254296,0.38267603261910826,0.00035876462919548816
0.31,-132989.23013601376,0.00043253776673944064,0.3900162242148829,0.07822355606533417,0.021884192594566518,6.568554146163816e-05,2.224238019118941e-05,0.12991095692135698,0.00043249555449040983,0.3789898296246941,2.2279336285044768e-05
0.315,-128534.4643410431,0.00018512448351075877,0.3837501322107183,0.0769440362436851,0.0262862874822866,0.00015136800762703808,0.0001311453581957025,0.13796521084047084,0.0001520624837742316,0.3742871272119522,0.0001475056777848079
0.32,-123933.32220019182,0.0011333017663036793,0.3472770134598219,0.09711289094615533,0.05249374482312339,0.0003304884705108449,0.00027892507842664497,0.14230687317983567,0.00033048847066821023,0.3584057865556229,0.000330487249533685
0.325,-119714.20993554595,0.00048334445039354345,0.3585100786461829,0.09342126950101852,0.034170231832096463,3.2264960371592264e-05,3.032558376389337e-05,0.15016920641283724,3.226496039234898e-05,0.3631195496034128,3.1464049533631146e-05
0.33,-115328.88210167609,0.00014647788904075966,0.3554366401538928,0.09206413828076412,0.0364855950234673,5.4577349840789505e-05,4.538649003430453e-05,0.1564926930393219,0.00010154356077324358,0.35912756172282906,4.5386490038585904e-05
0.335,-110784.7486789608,0.0010192969403833901,0.3385147695628319,0.09667649563937017,0.05161357398971693,0.0005002693795413747,0.0003846579323530889,0.16057608957916986,0.000563048378278272,0.34976714053709845,0.00038465806125778564
0.34,-106450.45649423458,0.0015487715572665894,0.3277754385502042,0.0953260662309651,0.06708007214302114,0.000705416063645184,8.324055306189692e-05,0.16326325831610428,0.0007068078376578364,0.3433997144627564,0.00011121428531662488
