Date,CTG,FPT,HPG,MBB,MSN,REE,SBT,SSI,STB,VCB,VIC,VNM
7/11/2018,20900,33480.0041,26461.5385,17487.1229,74000,28388.2022,13551.2163,24142.5954,10000,50102.9918,104500,131363.8138
7/10/2018,22350,34504.9022,27307.6923,18568.8006,74200,29100.2809,13822.2406,25674.7216,10400,51962.2826,103000,131363.8138
7/9/2018,22100,34291.3818,27461.5385,18388.521,74200,28957.8652,13822.2406,25814.0058,10400,52842.9992,105000,131363.8138
7/6/2018,21900,34846.5349,28307.6923,18253.3113,74000,29147.7528,13460.8749,26556.8549,10400,53821.5733,106200,130577.2041
7/5/2018,20500,33736.2286,27769.2308,17081.115,73900,28767.9775,13280.192,24931.8725,9720,50885.8511,106500,129790.5945
7/4/2018,21900,34163.2695,28538.4615,18103.7095,74100,28483.1461,13280.192,25303.2971,10300,54408.7177,105000,131363.8138
7/3/2018,21500,33309.1878,27923.0769,17762.8447,74000,28103.3708,13280.192,23956.8831,10350,54800.1473,99700,133723.6428
7/2/2018,23100,34334.0859,29538.4615,18823.313,76000,29100.2809,13054.3384,25535.4374,11100,56855.1529,107200,134510.2524
6/29/2018,24250,35444.3921,29538.4615,19845.9075,79000,30287.0787,14002.9235,26463.9988,11550,56757.2955,107500,133723.6428
6/28/2018,24300,36298.4739,29884.6154,20073.1507,79000,29717.4157,14454.6307,26463.9988,11550,56659.438,107500,133723.6428
6/27/2018,25000,37835.821,30384.6154,20679.1326,81000,30192.1348,14093.2649,27578.2724,11800,56757.2955,103471.0744,137656.6911
6/26/2018,26000,38006.6373,31615.3846,21133.619,82500,30192.1348,14138.4357,29156.8267,12000,58029.4417,102148.7603,138364.6398
6/25/2018,26350,38519.0864,31923.0769,21360.8622,83000,30287.0787,14093.2649,29388.9671,12150,58127.2991,102231.405,140960.4517
6/22/2018,25900,38433.6782,31500,21133.619,81000,29812.3595,14364.2893,29342.539,12000,57442.2973,101487.6033,140016.5201
6/21/2018,25350,37921.2292,30192.3077,20527.6371,81000,29812.3595,13460.8749,28692.546,11700,55778.7214,102479.3388,133723.6428
6/20/2018,26150,38775.3109,30769.2308,21133.619,81000,30144.6629,13777.0699,29249.6829,12000,56855.1529,103305.7851,132779.7112
6/19/2018,25400,38006.6373,29500,20830.6281,80000,29812.3595,13822.2406,28785.4022,11700,55289.4344,101652.8926,130813.187
6/18/2018,25850,38775.3109,30923.0769,21209.3667,84000,29907.3034,13235.0212,29017.5425,12000,55289.4344,101983.4711,135847.4889
6/15/2018,27100,39714.8008,33076.9231,22269.8351,85000,31521.3483,13189.8505,31106.8056,12400,57735.8695,102066.1157,141589.7394
6/14/2018,26800,39800.209,32769.2308,21663.8532,84500,31331.4607,13551.2163,30271.1003,12550,56855.1529,104132.2314,141589.7394
6/13/2018,27450,39971.0253,33384.6154,22345.5828,83500,31806.1798,13370.5334,31524.6582,12800,58616.5862,105785.124,142376.3491
6/12/2018,27400,39543.9845,32692.3077,22307.709,82400,31711.236,13641.5577,31199.6617,12800,56757.2955,102809.9174,142376.3491
6/11/2018,28050,40568.8826,33296.7033,22951.5647,85000,32280.8989,14273.9478,31617.5143,12600,57735.8695,102727.2727,141668.4004
6/8/2018,28550,40953.2193,33681.3187,23292.4296,86000,32565.7303,14364.2893,31571.0863,12900,58420.8714,102644.6281,139229.9104
6/7/2018,28350,40825.1071,34010.989,23406.0512,87300,32565.7303,14364.2893,30967.5214,13000,57442.2973,102644.6281,139465.8933
6/6/2018,28950,41422.9643,33406.5934,23140.9341,85500,33182.8652,14093.2649,31478.2301,13300,57833.7269,102561.9835,137656.6911
6/5/2018,28400,40825.1071,32417.5824,23065.1863,85400,32565.7303,14228.7771,31106.8056,12900,57344.4399,100082.6446,139229.9104
6/4/2018,27950,40355.3621,32967.033,23065.1863,84200,32185.9551,14273.9478,31013.9494,12550,58029.4417,99173.5537,136476.7766
6/1/2018,27450,39672.0967,31318.6813,22156.2135,83900,31426.4045,13551.2163,30038.96,11750,55778.7214,98347.1074,131173.679
5/31/2018,27100,39287.7599,30824.1758,22042.5919,81000,31283.9888,13325.3627,29713.9635,11750,52940.8566,95867.7686,128054.2098
5/30/2018,25650,38818.015,29010.989,20868.5019,80000,30382.0225,12963.9969,27810.4127,11500,50885.8511,91735.5372,129068.0373
5/29/2018,26050,40483.4744,28571.4286,21285.1145,80000,30951.6854,12918.8262,27299.704,11600,48928.703,90909.0909,131485.6259
5/28/2018,24350,38860.7191,26758.2418,19921.6552,80000,29242.6966,12873.6555,25535.4374,10850,45797.266,91735.5372,128678.1037
5/25/2018,26150,41764.597,28626.3736,21360.8622,83500,30856.7416,13822.2406,27392.5601,11650,48928.703,88429.7521,129457.971
5/24/2018,27350,43075.4268,28791.2088,22156.2135,84500,31616.2921,14815.9965,28274.6934,12050,52157.9974,86033.0579,131017.7055
5/23/2018,28000,43871.7792,28406.5934,22194.0873,85000,32470.7865,15358.0451,28971.1144,12150,53332.2862,85123.9669,130471.7984
5/22/2018,27100,43220.2181,27747.2527,21815.3487,85000,32280.8989,15267.7037,27903.2689,12000,52255.8548,87933.8843,126338.5018
5/21/2018,28800,44161.3619,29230.7692,22421.3306,89000,33989.8876,15674.2402,29713.9635,12600,54506.5751,94545.4545,129457.971
5/18/2018,29450,44016.5706,29615.3846,22951.5647,92500,34369.6629,15764.5816,30642.5249,12750,55289.4344,101652.8926,133435.2942
5/17/2018,29200,43871.7792,29120.8791,22648.5738,87000,34369.6629,15538.728,31199.6617,12750,55583.0066,101652.8926,128678.1037
5/16/2018,29100,43799.3835,29670.3297,22951.5647,92900,34369.6629,15538.728,32035.3669,13050,55778.7214,107438.0165,131875.5596
5/15/2018,29850,44450.9446,30439.5604,23481.7989,96200,34939.3258,15900.0938,32963.9283,13100,57442.2973,109090.9091,137256.6439
5/14/2018,29500,44595.736,30659.3407,23481.7989,98000,34464.6067,16261.4596,32499.6476,13100,57050.8677,109090.9091,138816.3785
5/11/2018,29400,43075.4268,30604.3956,23140.9341,93900,33942.4157,16171.1181,32128.2231,13100,56659.438,102479.3388,138816.3785
5/10/2018,28000,42206.6787,30329.6703,22383.4567,94000,33705.0562,15583.8987,31849.6547,12900,55289.4344,99586.7769,140376.1131
5/9/2018,30000,42279.0744,31318.6813,23633.2944,95000,34274.7191,15809.7523,33242.4967,13500,58225.1565,101570.2479,144275.4496
5/8/2018,30400,42713.4484,31318.6813,23860.5376,97000,34559.5506,15809.7523,33242.4967,13650,59693.0176,102396.6942,144353.4363
5/7/2018,30450,43147.8225,30769.2308,24390.7718,96500,34607.0225,16396.9717,33799.6335,13950,60769.4491,102975.2066,148174.786
5/4/2018,28500,42568.6571,29670.3297,23254.5557,91500,33800,16487.3132,31803.2266,13450,57735.8695,102892.562,143495.5823
5/3/2018,29000,41989.4917,29835.1648,22913.6909,92000,34084.8315,16667.996,32499.6476,13700,58323.0139,101652.8926,144275.4496
5/2/2018,27250,41265.5349,29890.1099,22194.0873,93400,33989.8876,16622.8253,32313.9353,13300,56953.0103,103305.7851,143885.5159
4/27/2018,29300,41265.5349,29560.4396,22648.5738,91800,34084.8315,16351.801,33428.209,13850,58714.4436,104132.2314,144275.4496
4/26/2018,28250,39817.6214,29395.6044,21588.1054,89200,32803.0899,15764.5816,32313.9353,13350,56953.0103,104958.6777,141155.9804
4/24/2018,30350,40831.1608,30769.2308,23140.9341,95800,34179.7753,16080.7767,34728.1949,14150,58714.4436,104958.6777,140376.1131
4/23/2018,31200,41989.4917,30549.4505,23178.8079,95000,34274.7191,16080.7767,36306.7492,14400,58323.0139,101818.1818,142247.7946
4/20/2018,33500,44378.5489,32307.6923,24883.1321,96200,35698.8764,16713.1668,38999.5771,15450,62628.7398,101652.8926,145055.3169
4/19/2018,31600,43944.1749,31318.6813,24163.5285,93000,35319.1011,16216.2888,37699.5912,15000,59693.0176,99917.3554,146225.1178
4/18/2018,33550,44885.3187,32417.5824,25489.114,100000,36078.6517,16442.1424,38535.2965,15500,63411.5991,107355.3719,146225.1178
4/17/2018,34800,44885.3187,32802.1978,26132.9697,104000,36173.5955,16848.6789,38999.5771,15800,65564.462,107438.0165,143885.5159
4/16/2018,34000,44233.7576,33021.978,25451.2401,104300,35603.9326,16261.4596,38442.4403,15500,64488.0305,106363.6364,148174.786
4/13/2018,34200,44885.3187,33626.3736,25072.5014,102500,36221.0674,15945.2645,38349.5842,15450,66445.1786,105454.5455,152620.0296
4/12/2018,35700,46043.6495,33901.0989,26360.213,102000,36648.3146,15629.0695,38999.5771,15600,69380.9008,104958.6777,153087.95
4/11/2018,35700,45609.2754,33241.7582,26663.2039,98000,36553.3708,15493.5573,38813.8649,15650,69674.473,104132.2314,152853.9898
4/10/2018,37300,46622.8149,33406.5934,27685.7984,105000,37882.5843,16035.6059,40392.4192,16200,72903.7674,108264.4628,153633.8571
4/9/2018,37700,45898.8581,33406.5934,27875.1677,107000,37360.3933,16306.6303,41135.2683,16400,72218.7656,111487.6033,154257.7509
4/6/2018,35700,45392.0884,33186.8132,27723.6722,106800,37455.3371,16306.6303,38906.721,16100,71925.1934,109421.4876,154569.6979
4/5/2018,35600,45609.2754,32307.6923,27799.42,109500,37170.5056,15809.7523,38906.721,15700,71925.1934,108264.4628,153867.8173
4/4/2018,35900,44668.1316,32417.5824,27647.9245,110000,37312.9213,15764.5816,38906.721,15600,71925.1934,105371.9008,155973.459
4/3/2018,36300,44306.1533,32142.8571,27799.42,113000,37502.809,15764.5816,39185.2894,15700,72708.0526,101074.3802,151060.295
4/2/2018,36200,44523.3403,32417.5824,27117.6903,114600,36268.5393,15719.4109,37885.3035,15800,72414.4804,101652.8926,155739.4988
3/30/2018,34600,43944.1749,33186.8132,26284.4652,113500,35793.8202,15900.0938,36213.8931,15500,68989.4712,96859.5041,158313.0609
3/29/2018,35000,43075.4268,33406.5934,26663.2039,109500,35888.764,15448.3866,36213.8931,15250,69478.7582,95041.3223,161432.5301
3/28/2018,35200,42641.0527,32912.0879,26814.6994,110400,36648.3146,15674.2402,36678.1737,15350,68989.4712,94628.0992,164551.9992
3/27/2018,35800,43075.4268,32637.3626,27117.6903,109000,36078.6517,15719.4109,37142.4544,15500,69478.7582,93388.4298,166111.7338
3/26/2018,35800,42858.2398,32362.6374,27117.6903,109100,35793.8202,15900.0938,37328.1667,15650,70359.4749,94049.5868,162602.331
3/23/2018,34950,42423.8657,33736.2637,26890.4471,102000,35793.8202,15719.4109,36771.0299,15750,68402.3268,90495.8678,161432.5301
3/22/2018,35800,43509.8008,34505.4945,27269.1858,103600,36743.2584,16442.1424,37421.0228,16000,70457.3323,89256.1983,162992.2646
3/21/2018,36200,44161.3619,34615.3846,27875.1677,102400,37028.0899,16758.3375,38024.5877,16250,71925.1934,89256.1983,162992.2646
3/20/2018,36000,44378.5489,33791.2088,27572.1768,100500,37312.9213,16713.1668,38117.4438,16000,72414.4804,86115.7025,162992.2646
3/19/2018,36300,43799.3835,34670.3297,27193.4381,94300,37407.8652,16171.1181,38071.0158,16050,72708.0526,86280.9917,165331.8665
3/16/2018,36700,43509.8008,33076.9231,27269.1858,92000,38167.4157,16622.8253,38071.0158,16300,73099.4822,82396.6942,166891.6011
3/15/2018,36600,43871.7792,33296.7033,27231.3119,93000,39021.9101,17481.069,36446.0334,16150,72218.7656,82231.405,163928.1054
3/14/2018,35550,44016.5706,33956.044,26360.213,94000,38737.0787,17435.8983,36399.6053,16050,72218.7656,84710.7438,166111.7338
3/13/2018,35700,43509.8008,33791.2088,26284.4652,95000,37882.5843,16396.9717,36678.1737,16100,70457.3323,84793.3884,163772.1319
3/12/2018,33450,44450.9446,34065.9341,25602.7356,95200,37882.5843,15358.0451,35656.7562,15950,70457.3323,82644.6281,160652.6628
