lambda,markovitz,HPG,ACB,MBB,KDH,MWG,VNM,SAB,GAS,ACV,FPT
0.08,-435.00544108932917,0.004225749597642306,0.1503693459000212,0.12696312435876225,0.24616064176315447,0.0035030201160635537,0.0011186856422006981,0.22561498353919315,0.0010535952988457936,0.23993754173353327,0.0010533120505830502
0.085,-367.8048131561364,0.0030797982750453002,0.14366662741921626,0.12834474736487683,0.25107377392192065,0.0030797883114342044,0.003072982200689179,0.22763573355050098,0.001233772299292387,0.23574843149370597,0.0030643451633166913
0.09,-301.3543260180732,0.005641510507030514,0.13770368676527972,0.12579900628750298,0.2553005211681685,0.005571531202396382,0.007456778077190891,0.22829556620229222,0.0012807011068325896,0.2316589022068235,0.0012917964764831888
0.095,-235.20106917399812,0.004550212464409383,0.13132139329618134,0.13012737209252612,0.2610230976841474,0.003666632825747023,0.004682245653674771,0.23054939826073087,0.002474762899468163,0.22911753695206402,0.002487347871051004
0.1,-171.00337611350957,6.494297568269892e-05,0.12740630641103015,0.13056486578008084,0.26384411212961695,0.0045587333890727685,0.018709381791333475,0.2299694994208994,5.8216349295110955e-05,0.22476572537197864,5.821638101084333e-05
0.105,-106.37851544918145,0.001312532778852379,0.1208826661658834,0.12700226654712038,0.2618498431728652,0.0013134069498771856,0.04242251678419785,0.22687976151630004,0.00019868767172130997,0.21793919678983223,0.00019912162335100918
0.11,-41.973052081895275,0.005178905292118706,0.11619890161489077,0.11721002776644408,0.2574944004765955,0.007196684366733195,0.059853241106102864,0.22265517128255222,0.0012824345490654668,0.21103697644615976,0.0018932570993384257
0.115,20.110110374688606,0.0012718468686416242,0.107389563830717,0.11955349380875657,0.25729791971166943,0.008079325080431991,0.0781095102820353,0.22003708966726818,0.0006794960294162605,0.20669878886472978,0.000882965856333166
0.12,82.61011836600525,0.005593897868958418,0.1011116363624031,0.11414720960429028,0.2538112495818965,0.010956586088106894,0.09123286702111061,0.21667770541619735,0.0008285154392531214,0.20129627701615402,0.00434405560163002
0.125,144.05650088552082,0.017141839766661966,0.09197532670913333,0.10693520522556928,0.24863139855382352,0.0185822709236072,0.10280857063598554,0.21263486659833516,7.281928777831218e-05,0.1948471843779872,0.006370517921117791
0.13,204.3406300298227,0.013002250118814446,0.0903567784983775,0.10446605198463005,0.24804335662444915,0.01948679334311297,0.1151216545702397,0.21077998848139248,0.00023248745879838486,0.19184412134838227,0.006666517571804284
0.135,263.8396248231909,0.007347145807354633,0.08639573072686811,0.10622871252504733,0.248566482881799,0.0210096435729856,0.12761963481982624,0.20935593173245529,0.000960356859818511,0.18969787640392075,0.002818484669925413
0.14,323.6421286303404,0.012465475840538247,0.08350837033367497,0.10269391582050605,0.246653810105167,0.019518938090541352,0.1367020108803833,0.2077230113050721,0.0017903781175489756,0.18599857463697506,0.0029455148695924464
0.145,382.8029831281744,0.010399821355629951,0.07980896838577,0.10020994929390284,0.24516850223783793,0.026252818045029953,0.14477516522431436,0.20558824568760178,0.00220565457198328,0.18333478976715603,0.002256085430772888
0.15,441.1821504735926,0.013762408480549689,0.07628423791554792,0.09733017741981782,0.24311666580079933,0.027606639486014866,0.15201675681765983,0.20385852193629314,0.000406956138241913,0.18015445094641927,0.005463185058656371
0.155,499.5020833898373,0.016352047009702598,0.07309904536873389,0.09605148673373513,0.24228060057913958,0.02890574618509715,0.1597004365853513,0.20248839379962427,0.001248057438736153,0.1777954072086895,0.002078779091188785
0.16,557.4136053469202,0.021674635727863416,0.07062391837879349,0.09404713389157444,0.24132936149543005,0.026973324120528528,0.16664815174666184,0.20168598031580476,0.0009051245600665051,0.17520601249582218,0.0009063572674539229
0.165,615.4149426747888,0.019088781276317815,0.06746619700896116,0.0926455374431198,0.2398550666750396,0.030573831387917458,0.17217766210403165,0.19982752211073268,0.00042834570963252907,0.17295091610504704,0.004986140179199925
0.17,673.0068971184667,0.026304601762858277,0.06537242534397736,0.0880022398490274,0.23769741828486218,0.03200547022365039,0.1771562533295895,0.1985201416700133,0.00036760104115524084,0.17032561880522495,0.004248229689642056
0.17500000000000002,731.3338632062218,0.018817789412571315,0.06351096789410168,0.08755196102575147,0.23653288254699945,0.030686966904120972,0.18211855533668536,0.19712445989889446,0.0006285460167131452,0.16878059010149252,0.014247280862671347
0.18,788.4787452880201,0.02299899581670161,0.06084369510109923,0.08371239550343271,0.23494129088506477,0.03571195378349151,0.18656679626009284,0.1956146306818012,0.0012051023439220412,0.16670881633669732,0.011696323287696672
0.185,844.6351805894536,0.025285696903118524,0.059042930781789134,0.08562995727647385,0.23606126439525676,0.03810464880617741,0.1927855340278471,0.19542644985747357,0.0007696472355484583,0.16556097093411118,0.0013328997822044727
0.19,901.3623484948369,0.024472260838020347,0.05897024113609822,0.0836667096934395,0.23526444758634563,0.039875136607094096,0.1974077929440738,0.19451424166009723,0.00035024438040889833,0.16385652647237567,0.00162239868204586
0.195,959.5613791234979,0.023362691191035193,0.0506032305648107,0.08431845310715594,0.23411164907482188,0.04189717729440939,0.20022269388596012,0.19256699006827785,0.0027108112513171798,0.16302205025705716,0.0071842533051531265
0.2,1015.2344310309853,0.030428350506543658,0.05353711037297978,0.08212525410436339,0.23381546468580383,0.03795660922963531,0.20524110243568655,0.19305751318065886,0.0010933139819454727,0.16090567714007928,0.00183960436230327
0.20500000000000002,1071.5572588611628,0.026318928316131685,0.05248851315616113,0.08073669270578518,0.2327361154455318,0.04221240348242857,0.20868055463184101,0.19173750532547684,0.0008296015749475759,0.15973151892489645,0.004528166436800359
0.21,1128.13356126224,0.028127894524263744,0.051326929495311105,0.07880571540684715,0.23179362186672114,0.04101791842736297,0.2123439652971738,0.19102383670153625,0.0011424202040202103,0.15828473484700686,0.006132963229756478
0.215,1184.396499270647,0.02388857735907426,0.04827472532106369,0.07820007395136877,0.23066448047015256,0.04419406329306242,0.21468499156766713,0.1894521213385517,0.0010573946069594086,0.15732244415329702,0.012261127938803299
0.22,1240.5134930680429,0.027251943553656552,0.048265532964384975,0.07582520674896999,0.2297262212347896,0.04479073552399905,0.21754550547262033,0.18897989878374435,0.0011186751921043459,0.15580174957435985,0.010694530951370821
0.225,1296.1999619506676,0.028418118651040093,0.04653554899126085,0.07631297018090424,0.22985929417180087,0.0459622521011674,0.22110551465447265,0.18857462755458096,0.0004402948700820359,0.15497190815384113,0.007819470670849312
0.23,1352.3008826037908,0.027389157235297713,0.04373262327579122,0.07371214725345679,0.22761701173703505,0.045382008691125124,0.22236264242875706,0.1869674740057834,0.0008446849939582901,0.1535211677394904,0.018471082639304408
0.23500000000000001,1408.462587132743,0.026296396860498658,0.041234166163279726,0.07254719610466122,0.22663952809872745,0.04606490617153902,0.22463482144656208,0.18579348799275497,0.0013953171939456975,0.15279554919013952,0.022598630777891336
0.24,1464.2564113239553,0.027072692704848095,0.03915526775830337,0.07189131521211842,0.22587382315223511,0.04606615731436557,0.22682425764220304,0.18526690524869963,0.0015174791393592465,0.15164328008898223,0.024688821738884054
0.245,1519.8471031701824,0.026413494618530143,0.0421304040881694,0.07113813085685598,0.22619731886140604,0.04856297206741115,0.23037063101684876,0.1851657341267057,0.0013638321448378027,0.1509045071712948,0.017752975047940017
